Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Log Work,Work Ratio,Security Level,Outward issue link (Cause),Inward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relation),Inward issue link (Relation),Inward issue link (Relation),Outward issue link (Relation),Outward issue link (Relation),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Fix URL),Custom field (Flagged),Custom field (GitHub Pull Request URL),Custom field (Labels),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add support for encrypted DBAL connections,PHPBB-17476,39611,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,rxu,rxu,28/Feb/25 8:39 AM,28/Feb/25 8:39 AM,08/Nov/25 11:12 AM,,3.3.14,4.0.0-a1,,,,,Database Abstraction Layer (DBAL),,,,,,0,,,,,,,,"DBAL should have an option to connect to a database using encrypted connections.
For the reference:
https://www.phpbb.com/community/viewtopic.php?t=2408816
https://www.phpbb.com/community/viewtopic.php?t=2660692
https://www.doctrine-project.org/projects/doctrine-dbal/en/4.2/reference/configuration.html#connection-details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03psn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errors on search results page (Char 0xFFFE out of allowed range in Entity),PHPBB-17099,38364,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,forum_klutz,forum_klutz,02/Feb/23 6:07 PM,28/Feb/25 12:13 AM,08/Nov/25 11:12 AM,,3.3.14,,,,,,Search,,,,,,0,search,unicode,,,,,,"When a user includes the [U+FFFE character|https://unicode-table.com/en/FFFE/] or [U+FFFF character|https://unicode-table.com/en/FFFF/] in a post, forum search displays a bunch of errors at the top of the page when this post is in the search results. 

The first error is:
{quote}[phpBB Debug] PHP Warning: in file [ROOT]/vendor/s9e/text-formatter/src/Utils.php on line 161: DOMDocument::loadXML(): Char 0xFFFE out of allowed range in Entity, line: ...
{quote}
Apparently users can enter these characters, but forum search cannot properly handle this.

It seems like an unsolved problem that has been around for a long time. See also [my forum post|https://www.phpbb.com/community/viewtopic.php?p=15924456#p15924456]. Doing a google search on ""Char 0xFFFE out of allowed range in Entity"" (include quotes) finds more forums with this issue.","PHP 8, MariaDB 10, Chrome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03nbz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demo Board has no SSL Cert,WEBSITE-1438,39607,,Security Issue,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Minor,,,thecoalman,thecoalman,23/Feb/25 8:44 PM,23/Feb/25 8:44 PM,08/Nov/25 11:12 AM,,,,,,,,,,,,,,0,,,,,,,,I realize this is  non issue since the username/password is known and available right in header but someone less knowledgeable may not understand that browser warning is non issue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03prr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original time of last post when bump topic,PHPBB-17345,38991,,Improvement,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,exUBert,exUBert,18/Jun/24 11:30 PM,19/Feb/25 10:54 PM,08/Nov/25 11:12 AM,,3.3.11,3.3.12,,,,,Posting,Viewing posts,,,,,0,easy,,,,,,,The original time of last post should not be updated when bump topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/phpbb/phpbb/pull/6649,,,,"0|i03oyf:",,,,,,,,,,,,,,"19/Feb/25 10:54 PM;MattF;I agree with this;;;",,,,,,,,,,,,,,,,,,,,,
Errant Posting Pane When Loading Drafts and Some Other Issues,PHPBB-17473,39606,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,thecoalman,thecoalman,18/Feb/25 3:19 PM,18/Feb/25 3:29 PM,08/Nov/25 11:12 AM,,3.3.14,,,,,,Posting,,,,,,0,,,,,,,,"# If you load a draft from posting pane on the next page sandwiched between the draft selection and the review panel is a posting pane with no buttons to submit, preview or save as draft. 
 # Editing and saving existing draft in posting pane creates another draft.
 # In UCP under manage drafts you can open the draft using basic editor in UCP. This does not create new draft when saved but it's redundant to the full posting pane.

In regards to 2 and 3 suggest removing the basic editor in favor of the full editor, edits to existing drafts regardless of where they are loaded from should not create new draft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03prj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[phpBB debug] PHP Warning on KB Manage Your Articles,WEBSITE-1437,39599,,Bug,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Minor,,,P_I,P_I,01/Feb/25 1:46 PM,01/Feb/25 1:46 PM,08/Nov/25 11:12 AM,,,,,,,,Knowledge base,,,,,,0,,,,,,,,"The page [https://www.phpbb.com/support/docs/en/3.3/kb/manage/] is throwing the following:
{noformat}
[phpBB Debug] PHP Warning: in file /var/www/www.phpbb.com/website-current/old/support/docs/kb/index.php on line 98: Use of undefined constant KB_READ_ONLY - assumed 'KB_READ_ONLY' (this will throw an Error in a future version of PHP){noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ppz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admins should be able to disable email notifications for a member via ACP,PHPBB-17466,39598,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,P_I,P_I,31/Jan/25 2:31 PM,31/Jan/25 2:31 PM,08/Nov/25 11:12 AM,,3.3.14,,,,,,ACP,,,,,,2,,,,,,,,"Per [https://www.phpbb.com/community/viewtopic.php?t=2660029] when administrators notice repeated email bounce or undelivered email notices they should have the ability to administer the user and disable email notifications for the member. 

The search [https://www.phpbb.com/search/?q=notification+emails+disable] shows this issue comes up repeatedly without a good and simple solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ppr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log captcha attempts in the ACP,PHPBB-17349,38995,,New Feature,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,danieltj,danieltj,24/Jun/24 1:16 PM,13/Jan/25 8:00 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Events,Migrations,Other,,,,1,database,Event,template,,,,,"Ticket to follow-up this idea: [https://www.phpbb.com/community/viewtopic.php?f=436&t=2649826]

Add the ability for admins to log captcha attempts (whether successful or not) in the Admin Control Panel next to the other four log types (admin, mod, user and error logs). Each logged attempt should save the following information (similar to existing logs):
 * Username (or anonymous)
 * IP address
 * Date & time
 * The question presented with captcha type (qa or gdimg etc)
 * The answer given by the user

Whatever the implementation, events should be present to allow extension developers to extend beyond this functionality to allow for various automations or filtering and such.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ozb:",,,,,,,,,,,,,,"07/Jul/24 6:31 AM;Marc;One potential issue I'm seeing with this is that the log could become very large in a short amount of time. This seems like it would need some special flag to enable this kind of logging and should potentially only be used for a short amount of time.;;;","13/Jan/25 8:00 PM;thecoalman;Logging the registration successes is the most important aspect of this. The Q&A is still quite effective but you are limited to one question since you don't know which one is broken if you have multiple questions.. Knowing which question the spammers are answering successfully allows you to implement multiple questions making their success less likely.

As side note  when there is multiple questions it changes with failure . This will allow the spammer to fish for question they know.;;;",,,,,,,,,,,,,,,,,,,,
Predefined searches should have tooltips to explain them,PHPBB-17458,39589,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,P_I,P_I,19/Dec/24 4:45 PM,19/Dec/24 4:45 PM,08/Nov/25 11:12 AM,,3.3.14,,,,,,,,,,,,0,,,,,,,,"The User Guide, specifically [Predefined searches|https://www.phpbb.com/support/docs/en/3.3/ug/userguide/user_search_predefined/] provides helpful information about the Quick links menu items.

Unfortunately the Quick links themselves provide no additional tooltips to explain them and therefore the differences between them. 

Particularly for newcomers to phpBB the user experience would be improved if there were tooltips for each of the Quick links entries. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03pnr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatically set the secure cookie option based on connection type rather than require ACP setting,PHPBB-17435,39499,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,P_I,P_I,21/Nov/24 1:15 PM,11/Dec/24 6:05 PM,08/Nov/25 11:12 AM,,3.3.14,,,,,,Authentication,Sessions,,,,,0,easy,,,,,,,"This seems to be one of the confusing parts of ACP->Cookie settings and requires a KB article [phpBB • Knowledge Base > Fixing incorrect cookie settings|https://www.phpbb.com/support/docs/en/3.3/kb/article/fixing-incorrect-cookie-settings/]. 

According to [PHP: setcookie - Manual|https://www.php.net/manual/en/function.setcookie.php]
{quote}secure

Indicates that the cookie should only be transmitted over a secure HTTPS connection from the client. When set to {*}{{[true|https://www.php.net/manual/en/reserved.constants.php#constant.true]}}{*}, the cookie will only be set if a secure connection exists. On the server-side, it's on the programmer to send this kind of cookie only on secure connection (e.g. with respect to [$_SERVER[""HTTPS""]|https://www.php.net/manual/en/reserved.variables.server.php]).
{quote}
If the PHP documentation says it's on the programmer why does phpBB not automatically choose and therefore remove the configurable option in ACP?

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03piv:",,,,,,,,,,,,,,"11/Dec/24 5:13 AM;rxu;Sometimes it's not that easy to detect if connection is secure. F.e. some installations or configurations doesn't have [$_SERVER[""HTTPS""]|https://www.php.net/manual/en/reserved.variables.server.php] defined at all, so it's not reliable as well as using relevant HTTP headers.

This leads to cases when connection is detected as not secure while it is actually secure.;;;","11/Dec/24 1:10 PM;P_I;There is further discussion in [https://area51.phpbb.com/phpBB/viewtopic.php?p=356749#p356749] 

To the best of my knowledge neither WordPress nor MediaWiki explicitly require configuration as to whether cookies are secure or not. If the connection is HTTPS they set the cookie as secure. Why can't phpBB do the same? Since both projects are open-sourced then perhaps some coding logic could be re-used from who they implement. ;;;","11/Dec/24 1:28 PM;rxu;Just for example, several days ago we had a support request on our IST where even Symfony requests's isSecure() method was unable to detect secure connection while it was actually secure. The cause was some CloudFlare SSL/TLS settings.

I don't say that's impossible or no existing code could be reused in phpBB. Automatic connection detection could be added but it might fail in pretty often cases, so that keeping current manual cookie settings is a mandatory as for me.;;;","11/Dec/24 2:53 PM;rxu;To add, WP relies on the same $_SERVER['HTTPS'] and $_SERVER['SERVER_PORT'] == 443 (which can be not set for both, also port 443 is not a mandatory for ssl and can be other custom value).

So, unreliable again.

https://github.com/WordPress/wordpress-develop/blob/32880ec4e910837cd267e1685733867b243e22fa/src/wp-includes/load.php#L1630;;;","11/Dec/24 6:05 PM;P_I;The flipside is there are many, many posts/topics on the [www.phpBB.com/community|http://www.phpbb.com/community] where admins have incorrect settings which cause problems. That created the need for a Knowledge Base article. So clearly this is significant issue that could use a software solution. 

There will always be edge cases that might not work as expected, however software should be able to detect these and act accordingly. I offer the PHP documentation and other open source projects as examples of how this might be accomplished. I would suggest they are subject matter experts so their approach and/or solution is worthwhile to consider. ;;;",,,,,,,,,,,,,,,,,
Unable to delete post via MCP queue,PHPBB-17444,39508,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,rxu,rxu,25/Nov/24 4:40 PM,27/Nov/24 2:52 PM,08/Nov/25 11:12 AM,,3.3.14,,,,,,Moderator Control Panel (MCP),,,,,,0,,,,,,,,"MCP->Moderation queue->Posts awaiting approval->[click post subject]->Approve details, attempt to delete a post awaiting approval via clicking ""Submit"" button beside the ""Delete post"" dropdown option in ""Moderator options"" block has no effect. The page just reloads without any action.

 

!image-2024-11-25-23-40-14-087.png|width=452,height=210!",,,,,,,,,,,,,,,,,"25/Nov/24 4:40 PM;rxu;image-2024-11-25-23-40-14-087.png;https://tracker.phpbb.com/secure/attachment/23026/image-2024-11-25-23-40-14-087.png",,,,,,,,,,,,,,,,,"0|i03pkv:",,,,,,,,,,,,,,"26/Nov/24 6:07 PM;thecoalman;Technically you can delete by not approving it. Instead of fixing the delete option remove it and change the ""Disapprove"" to ""Disapprove and Delete"".

 

This is one of those Gotcha's a lot of admin/moderators might not be aware of where they disapprove not realizing it will delete the post. It's not very intuitive especially if it's an edit to existing post that was already approved.;;;","27/Nov/24 2:54 AM;rxu;""Dissaprove and Delete"" sounds confusing (ar least for me it seems so). Probably just ""Delete""? Or simply add a note beside the buttons like ""Disapproving, the post will be deleted entirely"".

But there's also a nuance: using ""Delete post"" moderation option, there's a possibility to ""soft delete"" it, while ""Dissaprove"" only will delete it permanently. Although I don't know how should it work when a post is in an approval queue and is soft-deleted at the same time. Sounds like a mess.;;;","27/Nov/24 2:12 PM;P_I;I must admit I have never understood why there are three buttons on the ""Post awaiting approval"" screen. The Disapprove and Approve buttons make sense and as far as I know dropdown with ""Delete"" and the Submit button have never worked or taken any action. 

Personally I'd like to see two buttons, Disapprove and Approve and a secondary option on the Disapprove to give the moderator the ability to delete post or soft-delete post. Disapproving and soft-deleting would provide the opportunity for further review and/or education of other moderators as to why a post was Disapproved. 

On our boards,  the workaround process to keep a record of before disapproving is:
 # Click on the button to the right of Contact:  to view the drop-down icons.
 # On the left is ""Send private message""  (Send email  is on the right). Hover over the icon and right-click ""Open in a new tab or window"". The message appears in your PM Inbox.
 # In the PM, select all, copy, close the tab.
 # Paste into the forum post.;;;","27/Nov/24 2:52 PM;thecoalman;Whatever the text used it should be made clear disapproving is also deleting it.

It's still broken because if the user makes edit to post that needs approval there is no path to revert the post to what it was before the edit. It's not a big deal if it's single post topic but it's a problem if there is numerous replies.  The only solution would appear to be basic revision system.;;;",,,,,,,,,,,,,,,,,,
Design select box in BBCodes,PHPBB-17427,39491,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,wintstar,wintstar,03/Nov/24 9:44 AM,03/Nov/24 9:44 AM,08/Nov/25 11:12 AM,,3.3.13,,,,,,Styles,,,,,,0,"bbcode,select,css",,,,,,," 
The design of the select box in the bbcodes does not match the other buttons.
 
Look to this topic [https://www.phpbb.com/community/viewtopic.php?p=16037338#p16037338]
 
 ",,,,,,,,,,,,,,,,,"03/Nov/24 9:43 AM;wintstar;bbcode-select-box.png;https://tracker.phpbb.com/secure/attachment/23023/bbcode-select-box.png","03/Nov/24 9:44 AM;wintstar;new-bbcode-select-box.png;https://tracker.phpbb.com/secure/attachment/23022/new-bbcode-select-box.png",,,,,,,,,,,,,,,,"0|i03ph3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue with installing child styles when parent style name is modified in ACP,PHPBB-17420,39484,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,cabot,cabot,28/Oct/24 11:53 AM,28/Oct/24 3:38 PM,08/Nov/25 11:12 AM,,,,,,,,ACP,Styles,,,,,0,,,,,,,,"Currently, if the name of a style is changed in the ACP, it is not possible to install the child styles that depend on it. This is particularly problematic for prosilver, the default, non-removable style, which is the parent/ancestor of the majority of inherited styles.

 

*Problem Description:*
For style installation requirements, phpBB checks the name of the parent style based on the value of the parent key in the style.cfg file. This check depends on the {{style_name}} field stored in the database. If this name is modified from the PCA (which is possible for all styles, including prosilver), this causes an inconsistency and prevents the installation of child styles, as phpBB considers that the required parent style is not installed.

 

*Suggested solutions:*
 # Disable style name modification from the PCA.
Prevent the modification of style names via the APC, or at least for prosilver on which so many styles depend.
 # Add a ‘decorative/passive’ {{style_custom_name}} field.
 This field would return the default style name if unmodified, otherwise the one defined by the administrator in the PCA.
 # Ignore strict name checking.
Adapt the style installation logic so that it is based solely on the {{style_path}} of the parent style instead of its {{style_name}} in the database. (But requires a style_path key to be added to the styles .cfg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03pfj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove gif smilies and topic icons,PHPBB-17419,39483,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,Marc,Marc,27/Oct/24 3:57 PM,27/Oct/24 3:57 PM,08/Nov/25 11:12 AM,,,,,,,5.0.0-a1,,,,,,,0,,,,,,,,"Since the old gif smilies and topic icons have been replaced by svg versions, they should be removed from the package.",,,,,,,,,,,,,,,PHPBB-17418,PHPBB-17304,,,,,,,,,,,,,,,,,,"0|i03pfb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delete reason for soft deleted topics is not displayed,PHPBB-17406,39395,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,rxu,rxu,30/Sep/24 5:00 AM,30/Sep/24 5:00 AM,08/Nov/25 11:12 AM,,3.3.13,,,,,,Viewing forums,Viewing posts,,,,,0,,,,,,,,"Unlike for soft deleted posts, delete reason for soft deleted topics is not displayed in topic or post lists.

See https://www.phpbb.com/community/viewtopic.php?t=2656954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03pc7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyboard nav broken in registration form.,PHPBB-17395,39384,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,Gumboots,Gumboots,16/Sep/24 1:32 AM,17/Sep/24 11:03 PM,08/Nov/25 11:12 AM,,3.3.13,,,,,,Styles,,,,,,0,easy,prosilver,template,,,,,"If someone is using keyboard navigation on the default phpBB registration form, they cannot access the two time zone selects (#tz_date and #timezone) nor can they access the ""Anti-Spammer/Bot Test"" select (#pf_antispam).

The reason is misuse of tabindex. The first five inputs, and the submit button at the end of the form, all have a positive tabindex set. Respectively: 1, 2, 3, 4 and 8 for the inputs, and 9 for the submit button.

Obviously, if the other inputs have tabindex set the selects should also have values set (5, 6 and 7) but since they don't they are inaccessible by keyboard. The result is that focus follows the artificial order forced by tabindex, so it skips from #email straight to #answer.

This is another case where the standard accessibility rule of not using tabindex values greater than 0 applies. If *none* of the inputs has tabindex set, the whole form will work perfectly. Prosilver includes a skipnav link, which will take a11y users straight to the start of the registration form. After that, focus will just follow the natural order of the form's markup. It would also be more maintainable and easier to customise.

There are two additional issues.
1/ #tz_select_date does not have a label.
2/ #answer does not have a label either. There *is* a label in the dt preceding #answer's dd parent, but it has no for attribute, so it is non-functional and from an accessibility perspective it's just confusing clutter.

 

I have already fixed all of this for my own use. My suggestions are:
 # Remove all instances of tabindex from ucp_register.html
 # Where $CAPTCHA_TAB_INDEX is defined, set the defined value to 0.

These are minor changes that are easy to implement, and having $CAPTCHA_TAB_INDEX set to 0 will automatically deal with captcha_qa.html, etc.

 

Regarding the missing/broken labels, I have used this in timezone_option.html:
{code:java}
// co<dl>
    <!-- IF .timezone_date -->
    <dt>
        <label for=""tz_date"">{L_SELECT_CURRENT_TIME}{L_COLON}</label>
    </dt>
    <dd id=""tz_select_date"" style=""display: none;"">
        <select name=""tz_date"" id=""tz_date"" class=""autowidth tz_select"">
            <option value="""">{L_SELECT_CURRENT_TIME}</option>
            <!-- BEGIN timezone_date -->
            <option value=""{timezone_date.VALUE}""<!-- IF timezone_date.SELECTED --> selected=""selected""<!-- ENDIF -->>{timezone_date.TITLE}</option>
            <!-- END timezone_date -->
        </select>
        <input type=""button"" id=""tz_select_date_suggest"" class=""button2"" style=""display: none;"" timezone-preselect=""<!-- IF S_TZ_PRESELECT -->true<!-- ELSE -->false<!-- ENDIF -->"" data-l-suggestion=""{L_TIMEZONE_DATE_SUGGESTION}"" value=""{L_TIMEZONE_DATE_SUGGESTION}"">
    </dd>
    <!-- ENDIF -->
    <dt>
        <label for=""timezone"">{L_BOARD_TIMEZONE}{L_COLON}</label>
    </dt>
    <dd>
        <select name=""tz"" id=""timezone"" class=""autowidth tz_select timezone"">
            <option value="""">{L_SELECT_TIMEZONE}</option>
            <!-- BEGIN timezone_select -->
            <optgroup label=""{timezone_select.LABEL}"" data-tz-value=""{timezone_select.VALUE}"">
                <!-- BEGIN timezone_options -->
                <option title=""{timezone_select.timezone_options.TITLE}"" value=""{timezone_select.timezone_options.VALUE}""<!-- IF timezone_select.timezone_options.SELECTED --> selected=""selected""<!-- ENDIF -->>{timezone_select.timezone_options.LABEL}</option>
                <!-- END timezone_options -->
            </optgroup>
            <!-- END timezone_select -->
        </select>        <!-- INCLUDEJS timezone.js -->
    </dd>
</dl>de placeholder
{code}
And have used this in captcha_qa.html:
{code:java}
// code placeholder<!-- IF S_TYPE == 1 -->
<div class=""panel captcha-panel"">
    <div class=""inner"">
        <h3 class=""captcha-title"">{L_CONFIRMATION}</h3>
        <fieldset class=""fields2"">
<!-- ENDIF -->            <p>{L_CONFIRM_QUESTION_EXPLAIN}</p>
            <dl>
                <dt>
                    <label for=""qa_answer"">{QA_CONFIRM_QUESTION}{L_COLON}</label>
                </dt>
                <dd class=""captcha"">
                    <input type=""text"" name=""qa_answer"" id=""qa_answer"" size=""45""  class=""inputbox autowidth"" title=""{L_ANSWER}"">
                    <input type=""hidden"" name=""qa_confirm_id"" id=""qa_confirm_id"" value=""{QA_CONFIRM_ID}"">
                </dd>
            </dl><!-- IF S_TYPE == 1 -->
        </fieldset>
    </div>
</div>
<!-- ENDIF --> {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03p9z:",,,,,,,,,,,,,,"17/Sep/24 10:43 PM;Gumboots;Scrap that. Just tested it live. Using autofocus on the forms doesn't work. Tabbing just takes you straight to the skipnav anyway, so might as well just go with that and use it to go to the forms.

(Using autofocus on an input would not allow people to have content before the input read out to them.)

 ;;;",,,,,,,,,,,,,,,,,,,,,
invalid upload file names,PHPBB-17380,39285,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,oferlaor,oferlaor,11/Aug/24 5:50 PM,11/Aug/24 5:50 PM,08/Nov/25 11:12 AM,,3.3.12,,,,,,,,,,,,0,,,,,,,,"I use an iOS shortcut called ""Apple frames"", while it's very useful (it basically wraps screenshots with the right phone background that the screenshot was taken on), it has the peculiar behavior of changing the file name to the date. The file name is valid on iOS, but no where else (it uses the : for the time separator).

As I was trying to understand why I cant directly upload the file to phpbb, since files->common_check gives an INVALID_FILENAME error, I noticed something strange. The system actually now uses clean_filename('unique' but it still checks the common_check before that, despite it no longer being relevant as the realname later gets replaced with the hash anyway...

To test this theory I tried to see what happens if I remove this check and indeed, it all works as expected (because clean_filename('unique') runs later on anyway...

the issue is in: /phpbb/phpbb/files/upload.php
{code:java}

/* 
// check Filename if (preg_match(""#[\\/:*?\""<>|]#i"", $file->get('realname'))) { $file->error[] = $this->language->lang($this->error_prefix . 'INVALID_FILENAME', $file->get('realname')); } 
*/{code}
 
{{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03p6f:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update social media icons in site header,WEBSITE-1433,39283,,Improvement,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Minor,,danieltj,danieltj,danieltj,08/Aug/24 10:58 AM,08/Aug/24 10:58 AM,08/Nov/25 11:12 AM,,,,,,,,Community,Other,,,,,1,front-end,template,,,,,,"The header on .com has three social icons in the header. It has RSS, Facebook and Twitter (old). The icons should be updated to adjust their position, they're a bit wonky. Also the icons used are old for example the Facebook 'F' hasn't been used like that with the light bar at the bottom in ages and Twitter is now 'X'.

Font Awesome 6 has some nice brand icons that could be used instead to firstly, modernise the icons and secondly make them a bit more fancy and stand out so people actually see them properly.

I also think Discord should be added there too but that might need a little discussion potentially.",,,,,,,,,,,,,,,,,"08/Aug/24 10:58 AM;danieltj;phpbb-dot-com-social-icons-header.png;https://tracker.phpbb.com/secure/attachment/22821/phpbb-dot-com-social-icons-header.png",,,,,,,,,,,,,,,,,"0|i03p5z:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is online - Display guests ONLY,PHPBB-17348,38994,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,P_I,P_I,20/Jun/24 6:53 PM,20/Jun/24 6:53 PM,08/Nov/25 11:12 AM,,3.3.12,,,,,,Other,,,,,,0,,,,,,,,"To help admins deal with the whac-a-mole problem of bad bots they first line of inquiry is to use *Who is online* and click the Display guests link to review the user-agent associated with all the guest sessions. 

It would be an improvement to aid the admin if there was an option to Display guests ONLY to refine the list and help in the quest to identify and deal with bad bots based on their user-agent. 

A second improvement would be to separate the user-agent field into a separate, sortable column. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03oz3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last bumped by username data,PHPBB-17346,38992,,Improvement,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Minor,,,exUBert,exUBert,19/Jun/24 12:06 AM,19/Jun/24 12:13 AM,08/Nov/25 11:12 AM,,3.3.11,3.3.12,3.3.12-RC1,,,,Viewing posts,,,,,,0,easy,,,,,,,Missing username color and username url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/phpbb/phpbb/pull/6650,,,,"0|i03oyn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Link on Advanced Update,WEBSITE-1431,38980,,Bug,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Minor,,,thecoalman,thecoalman,09/Jun/24 12:48 AM,09/Jun/24 12:48 AM,08/Nov/25 11:12 AM,,,,,,,,Downloads Page,,,,,,0,,,,,,,,"Step 3.1 for the Advanced Update instructions has a text link for the ""Advanced Update"" archive which goes to the full package instead.

 

https://www.phpbb.com/support/docs/en/3.3/ug/upgradeguide/update_advanced/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ovz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
